,sample,bin_size,PC_pair,TH,RMSE
319,Sample_1,4.6,"3,5",-2,0.681133927070604
320,Sample_1,0.35,"3,5",-2,0.5082886661491479
321,Sample_1,1.45,"3,5",-3,0.3987470308305714
322,Sample_1,4.45,"3,5",-1,0.6112870467552007
323,Sample_1,2.75,"3,5",-1,0.5755240049994135
324,Sample_1,2.85,"3,5",-3,0.6275994076183439
325,Sample_1,3.9,"3,5",-3,0.670208353828897
326,Sample_1,3.0,"3,5",-2,0.53161392283715
327,Sample_1,4.0,"3,5",-3,0.6699711085627493
328,Sample_1,3.9,"3,5",-2,0.5687484421922132
329,Sample_1,2.35,"3,5",-1,0.6403110632329206
330,Sample_1,3.55,"3,5",-1,0.5467816670346148
331,Sample_1,4.85,"3,5",-3,0.5383314799173886
332,Sample_1,1.25,"3,5",-3,0.7490426091191204
333,Sample_1,0.15,"3,5",-3,0.0
334,Sample_1,1.85,"3,5",-2,0.6005535520172925
335,Sample_1,0.8,"3,5",-2,0.7128119123621158
336,Sample_1,3.25,"3,5",-3,0.740118118871291
337,Sample_1,2.7,"3,5",-1,0.6439519801039375
338,Sample_1,4.75,"3,5",-3,0.6240879875660088
339,Sample_1,2.1,"3,5",-2,0.6732129374082493
340,Sample_1,3.8,"3,5",-1,0.6090689257450648
341,Sample_1,1.05,"3,5",-1,0.718267447339978
342,Sample_1,2.05,"3,5",-1,0.7364443308298212
343,Sample_1,4.95,"3,5",-1,0.7898714187208037
344,Sample_1,1.35,"3,5",-2,0.643012726826905
345,Sample_1,2.6,"3,5",-1,0.7286236119293553
346,Sample_1,1.5,"3,5",-1,0.6826906882081076
347,Sample_1,3.15,"3,5",-3,0.7259155124363912
348,Sample_1,2.95,"3,5",-3,0.6390866557039933
349,Sample_1,1.3,"3,5",-2,0.5820242427929163
350,Sample_1,3.7,"3,5",-2,0.6148105212955878
351,Sample_1,3.25,"3,5",-1,0.6303718733832762
352,Sample_1,3.45,"3,5",-2,0.5837041643036689
353,Sample_1,3.8,"3,5",-2,0.5768781558248259
354,Sample_1,2.35,"3,5",-3,0.6461699416380935
355,Sample_1,1.8,"3,5",-1,0.5230086105208068
356,Sample_1,3.55,"3,5",-2,0.5762045234675962
357,Sample_1,3.05,"3,5",-2,0.6578374337140958
358,Sample_1,3.65,"3,5",-2,0.6173580847009671
359,Sample_1,3.85,"3,5",-1,0.7238258688804816
360,Sample_1,4.3,"3,5",-1,0.748725989069449
361,Sample_1,2.65,"3,5",-1,0.6730946442492682
362,Sample_1,3.8,"3,5",-3,0.6999457446732748
363,Sample_1,1.6,"3,5",-1,0.8103686080251411
364,Sample_1,0.25,"3,5",-2,0.5283305551336538
365,Sample_1,3.7,"3,5",-3,0.7822037316166299
366,Sample_1,3.75,"3,5",-1,0.6671178688539994
367,Sample_1,0.2,"3,5",-1,0.339394828552958
368,Sample_1,4.55,"3,5",-3,0.5539896292168964
369,Sample_1,1.95,"3,5",-3,0.708257315588658
370,Sample_1,3.55,"3,5",-3,0.6429573043415076
371,Sample_1,1.65,"3,5",-3,0.45133481557721505
372,Sample_1,4.35,"3,5",-1,0.6546922343013666
373,Sample_1,4.4,"3,5",-1,0.7088231025014374
374,Sample_1,2.4,"3,5",-2,0.5539230682356412
375,Sample_1,2.1,"3,5",-3,0.5411288019050574
376,Sample_1,2.6,"3,5",-3,0.6951269525045031
377,Sample_1,4.9,"3,5",-1,0.5860063201252469
378,Sample_1,2.9,"3,5",-1,0.7814015163389301
379,Sample_1,1.85,"3,5",-3,0.7355865617703619
380,Sample_1,3.35,"3,5",-1,0.6254838583156392
381,Sample_1,5.0,"3,5",-2,0.587766906656907
382,Sample_1,2.45,"3,5",-2,0.54596349547958
383,Sample_1,0.65,"3,5",-2,0.5477644712286897
384,Sample_1,0.3,"3,5",-3,0.4023518230601471
385,Sample_1,1.1,"3,5",-2,0.5988929950848798
386,Sample_1,1.0,"3,5",-1,0.7116665417566534
